ICAO	city
AGGA	Auki
AGGB	Bellona
AGGC	Choiseul Bay
AGGE	Ballalae
AGGF	Fera
AGGH	Honiara Henderson
AGGI	Babanakira
AGGJ	Avuavu
AGGK	Kirakira
AGGL	Santa Cruz
AGGM	Munda New Georgia
AGGN	Gizo/Nusatope
AGGO	Mono
AGGP	Parasi
AGGQ	Ontong Java
AGGR	Rennell
AGGS	Seghe
AGGT	Santa Anna
AGGU	Marau
AGGV	Suavanao
ANAU	Nauru I.
AYBK	Buka
AYCH	Chimbu
AYDU	Daru
AYGA	Goroka
AYGN	Gurney
AYGR	Girua
AYHK	Hoskins
AYKA	Kiriwini
AYKI	Kiunga
AYKK	Kikori
AYKM	Kerema
AYKV	Kavieng
AYKY	Kunaye
AYMD	Madang
AYMH	Mount Hagen
AYMN	Mendi
AYMO	Momote
AYMR	Moro
AYMS	Misima
AYNZ	Nadzab
AYPY	Port Moresby
AYTA	Tari
AYTB	Tabubil
AYTK	Tokua
AYVN	Vanimo
AYWD	Wapenamanda
AYWK	Wewak
BGAA	Aaisiaat
BGAG	Aappilattoq
BGAK	Akunaq
BGAK	Egedesminde
BGAM	Ammassalik
BGAP	Alluitsup Paa
BGAQ	Aappilattoq Nanortalik
BGAR	Arsuk
BGAS	Ammassalik Sletten
BGBW	Narsarsuaq
BGCH	Qasigiannguit
BGCO	Nerlerit Inaat
BGDB	Daneborg
BGDH	Danmarkshavn
BGET	Eqalugaarsuit
BGFD	Narsaq Kujalleq
BGFH	Paamiut
BGGD	Kangilinnguit
BGGH	Nuuk
BGGN	Qeqertarsuaq
BGHB	Holsteinsborg
BGIL	Ilimanaq
BGIS	Isortoq
BGJH	Qaqortoq
BGJN	Illulissat
BGKA	Kangaatsiaq
BGKD	Kap Dan
BGKK	Kulusuk
BGKL	Upernavik Kujalleq
BGKM	Kuummiut
BGKQ	Kullorsuaq Djaevlens Tommelfinger
BGKS	Kangersuatsiaq
BGLL	Illorsuit
BGMO	Moriussaq
BGMQ	Maniitsoq
BGMV	Mesters Vig
BGNK	Niaqornaarsuq
BGNN	Nanortalik
BGNQ	Nuugaatsiaq
BGNS	Narssaq
BGNT	Niaqornat
BGNU	Nuussuaq Krauldhavn
BGPC	Prins Christian Sund
BGQA	Qaanaaq
BGQK	Kullorsuaq Djaevlens Tommelfinger
BGQQ	Qaanaaq
BGQT	Qaarsut
BGSC	Scoresbysund
BGSF	Kangerlussuaq
BGSG	Sermiligaaq
BGSI	Siorapaluk
BGSQ	Saqqaq
BGSS	Sisimiut
BGST	Sukkertoppen
BGSV	Savissivik
BGTA	Tasiusaq
BGTL	Thule
BGTN	Tiniteqilaaq
BGUK	Upernavik
BGUM	Uummannaq Qaarsut
BGUP	Upernavik
BGUQ	Uummannaq
BIAE	Arngerdareyri 
BIAL	Alftaver
BIAR	Akureyri
BIBA	Bakki
BIBD	Bíldudalur
BIBF	Borgarf. Eystri
BIBI	Bæir
BIBK	Bakkafjordur
BIBL	Blonduos
BIBR	Búðardalur
BIDG	Dagverðará
BIDV	Djúpivogur
BIEG	Egilsstadir
BIEH	Einholtsmelar
BIFF	Fáskrúðsfjörður
BIFL	Flúðir
BIFM	Fagurholsmyri
BIFZ	Forsæti
BIGE	Geysir
BIGF	Grundarfjörður
BIGH	Gunnarsholt
BIGJ	Gjogur
